Date,P_A,P_B,P_C
2017-01-04,0.009841980632383911,,0.05344603075418851
2017-01-05,0.003442737253023278,,-0.06568484450220279
2017-01-06,0.01011216201835621,,-0.056319091407696045
2017-01-07,0.0,,0.0035255737650427997
2017-01-08,0.0,,0.0014364091778984035
2017-01-09,0.00869092564720465,,-0.006267777524556738
2017-01-10,-0.0032908203212042852,,0.0026793736456744897
2017-01-11,0.0014507767308346562,,-0.07582734207662097
2017-01-12,-0.005851941063574368,,0.015854349724870608
2017-01-13,0.008293510253339896,,0.012904083448805663
2017-01-14,0.0,,-0.0033926305686891086
2017-01-15,0.0,,0.002064364452521295
2017-01-16,0.0,,0.005888796482524616
2017-01-17,-0.01651996862086578,,0.04218710193220112
2017-01-18,0.0052117567229929135,,-0.010777315747849991
2017-01-19,0.004816478634067587,,0.005119467027225066
2017-01-20,-0.002362096374644957,,-0.00042215575374609615
2017-01-21,0.0,,0.014731789703390338
2017-01-22,0.0,,0.001561892176508458
2017-01-23,-0.005114132280402131,,-0.003286197476570488
2017-01-24,0.014050769020311332,,-0.012422882274425182
2017-01-25,0.008672058898373549,,0.009244355896827736
2017-01-26,-0.0008761101245135128,,0.008296857518638664
2017-01-27,0.00640599953268548,,0.0003923465207008699
2017-01-28,0.0,,0.0009992871718968426
2017-01-29,0.0,,-0.0011374026419531747
2017-01-30,-0.010454533682546705,,-0.0026289698612380515
2017-01-31,-0.005987762520353484,,0.026417299466500073
2017-02-01,0.024749569099133038,,0.009700748534192965
2017-02-02,0.0005817915013961649,,0.011713811371332
2017-02-03,-0.0019753998707713093,,0.012304739078781322
2017-02-04,0.0,,0.006266932292359486
2017-02-05,0.0,,-0.007516206661735303
2017-02-06,0.017695452549303083,,0.004339182127978391
2017-02-07,0.003734164376662575,,0.011072553446754839
2017-02-08,0.00612222848523033,,0.0014644064250142962
2017-02-09,0.0013386734034651177,,-0.030439438633268933
2017-02-10,0.0023949294897696724,,-0.0009095919507682237
2017-02-11,0.0,,0.007915378201279947
2017-02-12,0.0,,-0.002629722722225443
2017-02-13,0.002809745917846324,,-0.0015775115718681368
2017-02-14,-0.0002723167169104321,,0.008964611680864225
2017-02-15,0.003318612453645646,,0.004059680302115117
2017-02-16,-0.00665267393508962,,0.009383137363169772
2017-02-17,0.002651097880773793,,0.00983941689107426
2017-02-18,0.0,,0.003908410711804132
2017-02-19,0.0,,-0.0031156833268641566
2017-02-20,0.0,,0.015091488309028674
2017-02-21,0.014908692414814744,,0.019059214410891888
2017-02-22,0.0039381621289375935,,0.0005142989024381026
2017-02-23,-0.017777994279948636,,0.021916508815112277
2017-02-24,-0.0006237218833085626,,0.0036078879545493135
2017-02-25,0.0,,-0.012876582228610564
2017-02-26,0.0,,0.00925085552145313
2017-02-27,0.007063856225187311,,0.007079064559617582
2017-02-28,-0.009630597482170662,,-0.001351446045370399
2017-03-01,0.013219524025382933,,0.024654662683158936
2017-03-02,-0.018080524223576026,,0.008367972452628724
2017-03-03,-0.005476946258736169,,0.009808154589151448
2017-03-04,0.0,,-0.007841610488984397
2017-03-05,0.0,,0.00474574905676027
2017-03-06,0.0004675462886389997,,0.0007569966684146498
2017-03-07,0.0008836500695716159,,-0.02124302646204565
2017-03-08,0.003110398967963817,,-0.031922212182864305
2017-03-09,0.0010321659976801835,,0.01709453045931389
2017-03-10,0.007144336049477527,,-0.029394866308993906
2017-03-11,0.0,,0.02578922642116971
2017-03-12,0.0,,0.019003563594312704
2017-03-13,0.008799313300620299,,0.004548567518238881
2017-03-14,0.0018108345384552312,,0.001351829754952635
2017-03-15,0.003160434194260899,,0.00816817645281516
2017-03-16,0.0008135017196037358,,-0.026344476404898478
2017-03-17,-0.0002275254590234555,,-0.039175075843922845
2017-03-18,0.0,,-0.06102504462036504
2017-03-19,0.0,,0.03130601164356984
2017-03-20,0.012012238623033111,,0.007816144013567358
2017-03-21,-0.022896301032563966,,0.024038717881650903
2017-03-22,0.010024151818514009,,-0.03174496390576732
2017-03-23,-0.006123078725471759,,-0.005587196774748275
2017-03-24,0.0030575559137638484,,-0.05155376725480965
2017-03-25,0.0,,0.018459401745774182
2017-03-26,0.0,,-0.0031214351079104376
2017-03-27,0.0052253827278760665,,0.038783759005665545
2017-03-28,0.008773757140884613,,0.004284774789749952
2017-03-29,0.004985972122637911,,-0.0029729747324585016
2017-03-30,0.005596052245560402,,-0.004962962075823194
2017-03-31,0.004024879605217018,,0.020456494520609346
2017-04-01,0.0,,0.004046856291288589
2017-04-02,0.0,,0.009928553356353047
2017-04-03,0.0063714090262876515,,0.017671615129187385
2017-04-04,-0.0076932970682449826,,-0.0043190491098012386
2017-04-05,-0.006108698876954551,,-0.00523965423209838
2017-04-06,-0.006537638791039661,,0.026501385273917953
2017-04-07,0.0005941272432531629,,-0.0029594924169646293
2017-04-08,0.0,,-0.00040379680119125006
2017-04-09,0.0,,0.005042746594674211
2017-04-10,-0.0005269819438236522,,-1.4093241647935456e-05
2017-04-11,-0.00526128317844784,,0.006879368153815021
2017-04-12,-0.012345340913561978,,-0.004124806184128716
2017-04-13,-0.007406941244547552,,-0.016378842764487957
2017-04-14,0.0,,-0.0007445975749264865
2017-04-15,0.0,,0.0021281453732668746
2017-04-16,0.0,,0.004423760122920832
2017-04-17,0.01650792470718039,,0.009025920828476818
2017-04-18,-0.003029678671771704,,0.0058886343616245595
2017-04-19,-0.001572275995620687,,-0.0014898938196752113
2017-04-20,0.007520743261531788,,0.011755937873696082
2017-04-21,0.002111439695294579,,-0.0044640117463199585
2017-04-22,0.0,,0.003936799839939308
2017-04-23,0.0,,-0.010045768183673292
2017-04-24,0.011453606992473999,,0.022944933847334856
2017-04-25,0.015307142259571718,,0.008998636619094155
2017-04-26,-0.00414302790655181,,0.005807555658449598
