Date,AAPL,MSFT,AMZN,GOOGL,NVDA,META,NFLX,AMD,TSLA,QCOM
2017-01-04,-0.001119420245435388,-0.004484470192740086,0.00464647301631583,-0.0002970570159126873,0.023063383194979217,0.015538341250124531,0.014947759221277472,0.0,0.04505471633347787,0.0010700807617523458
2017-01-05,0.0050721554645629194,0.0,0.030269616426223996,0.006478366750448475,-0.025713575779771684,0.01654459300431436,0.01837581554773716,-0.016762680403870196,-0.001057861030955868,0.0012209425515436142
2017-01-06,0.011086590481862543,0.00863068091898008,0.019715957739975132,0.01488222737427347,0.013278848767158045,0.02245260627153912,-0.005629914794825165,0.007092221713653185,0.009917553493924881,-0.00030515178297921844
2017-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,0.009117764666686512,-0.003188105424386681,0.001167703507288725,0.0023843748891407873,0.03974289932979536,0.012001289495538112,-0.0009159670620041675,0.014906026124528763,0.009863458023055665,0.00182981292240341
2017-01-10,0.001008126650413313,-0.0003192213058412084,-0.0012808103905381707,-0.0014154992201966944,-0.0075787416031453106,-0.004413313903073524,-0.008127628256502484,-0.004361122668704178,-0.006115156941657509,-0.0003048355727970896
2017-01-11,0.005358725665212876,0.009061499368390687,0.003912478289611972,0.004650104521238168,-0.012380494865526719,0.013895710697109374,0.004685278289566648,-0.021202188000719557,-0.0006092435195030356,0.007135896862966152
2017-01-12,-0.004183941944867174,-0.00922131755522782,0.018132006141166754,-0.000397649463345247,-0.01649120313392563,0.0041945661017266395,-0.010166443646666551,-0.040078185265966036,-0.000609614923456095,0.0003023730548174753
2017-01-13,-0.0017629368409963406,0.0014365658462197424,0.004292412484765232,0.0016983553334841835,-9.677883722069087e-05,0.013492544292865375,0.03439167781658752,-0.016870156786178845,0.03492463195369908,0.011428787270173702
2017-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17,0.008032372463618383,-0.002714946694760649,-0.009121890314228257,-0.004196914898672665,-0.02268633803620809,-0.003668905797919158,-0.006076790503535473,-0.07454432792959473,-0.009169203719983601,-0.041052740777373545
2017-01-18,-8.323974039661249e-05,-0.00047981446467049643,-0.0027702098070148586,0.0018836149079757979,0.018034700600425224,0.00039097894325597316,0.0027804381201044824,0.006091432053454601,0.011731632670332903,0.014538033946462125
2017-01-19,-0.0017515714862421836,-0.0032053406887036034,0.0019300507014308483,-0.005624968600168037,0.021239619406929127,-0.002896533507111691,0.03791814308038974,-0.011196010434165593,0.022402035945969845,-0.010650638077652581
2017-01-20,0.0018348112266387316,0.007037831123629303,-0.0008779580464918789,0.004599095982791356,-0.010996005338434792,-0.004006497954240213,0.0013717957397149693,-0.0020492278989438797,0.003971315219317114,-0.02450612380043028
2017-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-23,0.0006664266711140058,0.003500428140020316,0.011745257952587861,0.019443500251358495,0.010330273103500568,0.014767547732669478,-0.008768441726193748,0.016277047934775243,0.016976100373868687,-0.13607946323772221
2017-01-24,-0.0009165115743795261,0.00885525591919029,0.005559920523586129,0.006021281390433603,0.021090869745596087,0.0034069938791655343,0.01960418525407841,0.0521002093167903,0.022601411503190925,0.0021840742454615754
2017-01-25,0.015795391680061093,0.0025156892071764867,0.01697486266869307,0.010445140646380848,0.004276872017950423,0.016178148157090576,-0.00421986941284705,-0.00865798569296559,-0.0005500843249134191,0.03396242403710906
2017-01-26,0.0004922040137325402,0.009222194028915595,0.0031390512706332713,-0.001713847931885905,0.017108429178051828,0.009838897623765674,-0.004021820755652779,0.016291694254864063,-0.0077321030234220765,-0.051385799904137344
2017-01-27,8.19086660470641e-05,0.023222938677724462,-0.004035988422900606,-0.014042410398916634,0.01914979830196519,-0.0045287983688692,0.024804937565730968,0.014157821640764947,0.0017409759146729197,0.0035088117506356822
2017-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-30,-0.002627676504037985,-0.009930539510266595,-0.0064700456424170135,-0.025407851359006122,-0.015780803046244535,-0.009120298427974351,-0.008672113190417696,-0.0056391521965059145,-0.009213992922049127,-0.011682864026547725
2017-01-31,-0.0023044854531122957,-0.007396867285422908,-0.008344194046237697,-0.004428324263876468,-0.00766449387670134,-0.0050515882322605355,-0.003617897870883883,-0.02287990906181146,0.0051734895114166285,-0.0033633546246448773
2017-02-01,0.05919363634379646,-0.016689214838301946,0.010713775220083516,-0.006053463540900595,0.042761979353979636,0.02208384589327502,0.0004973512085667692,0.1509772148874591,-0.010735061799641487,-0.005254371736986102
2017-02-02,-0.0017104591656071989,-0.006469572711776123,0.009089366182682778,0.003697501394891477,0.012557726846860228,-0.018101598116660556,-0.011286639676215834,0.018077674880852556,0.009225563392159148,-0.009261648013224827
2017-02-03,0.004270065713445136,0.008041061639127538,-0.036061309620379046,0.0022827620539936817,-0.008791343383973107,0.0010693404556460717,0.007514763822331773,-0.0032626425892956865,-0.0008750106521047401,0.0060583138534952815
