T,breaches,hit_rate,Kupiec_LR,Kupiec_p,Christoff_LR,Christoff_p,Joint_LR,Joint_p,ES_realised,portfolio,alpha,model
2454,32,0.013039934800325998,2.090543983277769,0.14821328686503332,46.051701859880914,1.1517342635158911e-11,48.14224584315868,3.515965296685408e-11,0.061218390889114876,P_A,0.01,HS
2454,66,0.02689486552567237,48.38583515571554,3.500866263550506e-12,46.051701859880914,1.1517342635158911e-11,94.43753701559646,0.0,0.04939187568784946,P_A,0.01,VC
2953,101,0.03420250592617677,107.22383055633225,0.0,46.051701859880914,1.1517342635158911e-11,153.27553241621317,0.0,0.03751297230229477,P_A,0.01,VC_EWMA
2454,127,0.05175224123879381,0.1568986860621635,0.6920280214690964,46.051701859880914,1.1517342635158911e-11,46.20860054594308,9.245493259868454e-11,0.040855590888793876,P_A,0.05,HS
2454,140,0.05704971475142624,2.460717540145879,0.11672544898934101,46.051701859880914,1.1517342635158911e-11,48.51241940002679,2.921873853978241e-11,0.03955330937334701,P_A,0.05,VC
2953,223,0.07551642397561802,35.24013702454454,2.914544050547363e-09,46.051701859880914,1.1517342635158911e-11,81.29183888442546,0.0,0.03186874283844236,P_A,0.05,VC_EWMA
2454,32,0.013039934800325998,2.090543983277769,0.14821328686503332,46.051701859880914,1.1517342635158911e-11,48.14224584315868,3.515965296685408e-11,0.12892090405105858,P_B,0.01,HS
2454,45,0.018337408312958436,13.825016324445983,0.00020064684760701113,46.051701859880914,1.1517342635158911e-11,59.8767181843269,9.947598300641403e-14,0.11793651734150185,P_B,0.01,VC
2953,84,0.028445648493057907,67.71014202213564,2.220446049250313e-16,46.051701859880914,1.1517342635158911e-11,113.76184388201656,0.0,0.10230149560713679,P_B,0.01,VC_EWMA
2454,120,0.0488997555012225,0.0629796700696943,0.8018469628944491,46.051701859880914,1.1517342635158911e-11,46.11468152995061,9.690004354467874e-11,0.08476840687371966,P_B,0.05,HS
2454,101,0.041157294213528935,4.287751651487838,0.038387897833421336,46.051701859880914,1.1517342635158911e-11,50.33945351136875,1.1719958337153003e-11,0.08985364864583156,P_B,0.05,VC
2953,177,0.05993904503894345,5.790154589512213,0.016116171926798484,46.051701859880914,1.1517342635158911e-11,51.84185644939313,5.529465774145592e-12,0.07931721732117221,P_B,0.05,VC_EWMA
2454,29,0.011817440912795437,0.773693250523138,0.3790769351281884,46.051701859880914,1.1517342635158911e-11,46.82539511040405,6.791955886598089e-11,0.06991890243399267,P_C,0.01,HS
2454,40,0.016299918500407497,8.264590775723775,0.004042577244102286,46.051701859880914,1.1517342635158911e-11,54.31629263560469,1.6046053374907387e-12,0.06375423408913534,P_C,0.01,VC
2953,78,0.026413816457839485,55.39122367697894,9.880984919163893e-14,46.051701859880914,1.1517342635158911e-11,101.44292553685986,0.0,0.04984934114975537,P_C,0.01,VC_EWMA
2454,116,0.04726976365118175,0.3919356951098507,0.5312836692541264,46.051701859880914,1.1517342635158911e-11,46.443637554990765,8.220391034541308e-11,0.04382559858615795,P_C,0.05,HS
2454,103,0.041972290138549306,3.5132496183845205,0.06087993331985553,46.051701859880914,1.1517342635158911e-11,49.564951478265435,1.7262635765291634e-11,0.04527543807597585,P_C,0.05,VC
2953,172,0.05824585167626143,4.023523087388867,0.0448698901760034,46.051701859880914,1.1517342635158911e-11,50.07522494726978,1.3375300866869111e-11,0.039250266130274075,P_C,0.05,VC_EWMA
