portfolio,alpha,winner_model,rank_avg,zone,Kupiec_p,Christoff_p,Joint_p,ES_realised,breaches,T,hit_rate
P_A,0.01,MC-MVT(ν=6),2.75,red,2.9199350715103382e-09,1.0,2.230914764034253e-08,0.0511990000065937,64,2764,0.0231548480463096
P_A,0.05,MC-MVN,2.75,yellow,0.0285209989289615,1.0,0.0908861385665331,0.0387351675773483,164,2764,0.0593342981186685
P_B,0.01,MC-MVT(ν=6),2.5,yellow,0.0297170409218704,1.0,0.0941568353243501,0.1274975217419578,36,2454,0.0146699266503667
P_B,0.05,HS,2.0,green,0.8018469628944491,1.1517342635158911e-11,9.690004354467874e-11,0.0847684068737196,120,2454,0.0488997555012225
P_C,0.01,MC-MVT(ν=6),2.5,green,0.1766364948233643,1.0,0.4013790176524399,0.0674893281167112,35,2764,0.0126628075253256
P_C,0.05,MC-MVT(ν=6),2.25,green,0.1767785115739937,1.0,0.4016194776010287,0.044590001017135,123,2764,0.0445007235890014
