T,breaches,hit_rate,Kupiec_p,Christoff_p,Joint_p,ES_realised,portfolio,alpha,model
1952,48,0.02459016393442623,4.6947713938649827e-08,1.0,3.315623996469341e-07,0.0467597617682086,P_A,0.01,GBM-Quantile
1952,140,0.07172131147540983,3.380142891717952e-05,1.0,0.00018492587563323504,0.03386478993573787,P_A,0.05,GBM-Quantile
1952,54,0.027663934426229508,1.1467726768188413e-10,1.0,9.478268170326487e-10,0.0903889132899039,P_B,0.01,GBM-Quantile
1952,136,0.06967213114754098,0.0001605578150317699,1.0,0.0008070841855828403,0.06992650294205495,P_B,0.05,GBM-Quantile
1952,42,0.02151639344262295,9.223521530765666e-06,1.0,5.3655675139818726e-05,0.047959096870007094,P_C,0.01,GBM-Quantile
1952,127,0.06506147540983606,0.003456679074898994,1.0,0.013917387417281546,0.035267019946971574,P_C,0.05,GBM-Quantile
