Date,AAPL,AMD,AMZN,BTC-USD,ETH-USD,GOOGL,META,MSFT,NFLX,NVDA,QCOM,SPY,TSLA
2017-01-01,,,,998.3250122070312,,,,,,,,,
2017-01-02,,,,1021.75,,,,,,,,,
2017-01-03,26.770877838134766,11.430000305175781,37.68349838256836,1043.8399658203125,,40.0975341796875,116.14400482177734,56.29931640625,12.74899959564209,2.512206792831421,51.107120513916016,195.57513427734375,14.465999603271484
2017-01-04,26.74092674255371,11.430000305175781,37.85900115966797,1154.72998046875,,40.08562469482422,117.96278381347656,56.04740905761719,12.940999984741211,2.5708200931549072,51.16183853149414,196.73867797851562,15.13266658782959
2017-01-05,26.87690544128418,11.239999771118164,39.022499084472656,1013.3800048828125,,40.34615707397461,119.9306640625,56.04740905761719,13.180999755859375,2.5055577754974365,51.224342346191406,196.5824432373047,15.116666793823242
2017-01-06,27.176536560058594,11.319999694824219,39.79949951171875,902.2009887695312,,40.951087951660156,122.65387725830078,56.53322982788086,13.107000350952148,2.539050579071045,51.20871353149414,197.28570556640625,15.267333030700684
2017-01-07,27.176536560058594,11.319999694824219,39.79949951171875,908.5850219726562,,40.951087951660156,122.65387725830078,56.53322982788086,13.107000350952148,2.539050579071045,51.20871353149414,197.28570556640625,15.267333030700684
2017-01-08,27.176536560058594,11.319999694824219,39.79949951171875,911.198974609375,,40.951087951660156,122.65387725830078,56.53322982788086,13.107000350952148,2.539050579071045,51.20871353149414,197.28570556640625,15.267333030700684
2017-01-09,27.425458908081055,11.489999771118164,39.84600067138672,902.8280029296875,,41.04884719848633,124.13475036621094,56.3532829284668,13.095000267028809,2.6419918537139893,51.3025016784668,196.63449096679688,15.41866683959961
2017-01-10,27.453121185302734,11.4399995803833,39.79499816894531,907.6790161132812,,40.99078369140625,123.5881118774414,56.335296630859375,12.98900032043457,2.622044563293457,51.286865234375,196.63449096679688,15.324666976928711
2017-01-11,27.600629806518555,11.199999809265137,39.95100021362305,777.7570190429688,,41.18183898925781,125.31744384765625,56.84809875488281,13.050000190734863,2.589782476425171,51.654151916503906,197.19017028808594,15.315333366394043
2017-01-12,27.48539161682129,10.760000228881836,40.68199920654297,804.833984375,,41.16546630859375,125.84420013427734,56.3262939453125,12.918000221252441,2.547424077987671,51.66977310180664,196.69522094726562,15.305999755859375
2017-01-13,27.436979293823242,10.579999923706055,40.856998443603516,823.9840087890625,,41.23543930053711,127.55366516113281,56.40726852416992,13.369999885559082,2.54717755317688,52.2636833190918,197.1467742919922,15.850000381469727
2017-01-14,27.436979293823242,10.579999923706055,40.856998443603516,818.4119873046875,,41.23543930053711,127.55366516113281,56.40726852416992,13.369999885559082,2.54717755317688,52.2636833190918,197.1467742919922,15.850000381469727
2017-01-15,27.436979293823242,10.579999923706055,40.856998443603516,821.7979736328125,,41.23543930053711,127.55366516113281,56.40726852416992,13.369999885559082,2.54717755317688,52.2636833190918,197.1467742919922,15.850000381469727
2017-01-16,27.436979293823242,10.579999923706055,40.856998443603516,831.5339965820312,,41.23543930053711,127.55366516113281,56.40726852416992,13.369999885559082,2.54717755317688,52.2636833190918,197.1467742919922,15.850000381469727
2017-01-17,27.65825080871582,9.819999694824219,40.486000061035156,907.93798828125,,41.062740325927734,127.08654022216797,56.25433349609375,13.288999557495117,2.490041971206665,50.16156005859375,196.45213317871094,15.70533275604248
2017-01-18,27.655948638916016,9.880000114440918,40.374000549316406,886.6179809570312,,41.140159606933594,127.13623809814453,56.22734832763672,13.326000213623047,2.5353565216064453,50.89613723754883,196.88623046875,15.890666961669922
2017-01-19,27.6075496673584,9.770000457763672,40.45199966430664,899.072998046875,,40.90939712524414,126.76851654052734,56.04740905761719,13.840999603271484,2.589782476425171,50.356937408447266,196.15692138671875,16.250667572021484
2017-01-20,27.65825080871582,9.75,40.416500091552734,895.0260009765625,,41.09797668457031,126.26163482666016,56.44325256347656,13.859999656677246,2.5614612102508545,49.137882232666016,196.87757873535156,16.315332412719727
2017-01-21,27.65825080871582,9.75,40.416500091552734,921.7890014648438,,41.09797668457031,126.26163482666016,56.44325256347656,13.859999656677246,2.5614612102508545,49.137882232666016,196.87757873535156,16.315332412719727
2017-01-22,27.65825080871582,9.75,40.416500091552734,924.6729736328125,,41.09797668457031,126.26163482666016,56.44325256347656,13.859999656677246,2.5614612102508545,49.137882232666016,196.87757873535156,16.315332412719727
2017-01-23,27.67668914794922,9.90999984741211,40.89400100708008,921.0120239257812,,41.904884338378906,128.14004516601562,56.64117431640625,13.73900032043457,2.5880589485168457,42.88623046875,196.3653106689453,16.594667434692383
2017-01-24,27.651334762573242,10.4399995803833,41.12200164794922,892.68701171875,,42.15796661376953,128.57736206054688,57.14497375488281,14.01099967956543,2.6432230472564697,42.97999954223633,197.62435913085938,16.974000930786133
2017-01-25,28.09156608581543,10.350000381469727,41.82600021362305,901.5419921875,,42.60062026977539,130.67442321777344,57.28891372680664,13.95199966430664,2.6545519828796387,44.46477508544922,199.33486938476562,16.96466636657715
2017-01-26,28.105396270751953,10.520000457763672,41.95750045776367,917.5859985351562,,42.527671813964844,131.96646118164062,57.81968688964844,13.895999908447266,2.7003579139709473,42.23762893676758,199.12648010253906,16.833999633789062
2017-01-27,28.107698440551758,10.670000076293945,41.78850173950195,919.75,,41.934654235839844,131.3701629638672,59.17814254760742,14.244999885559082,2.7525675296783447,42.38609313964844,198.8139190673828,16.863332748413086
